area_id,AreaID,AnalysisAreaName,acres,job_spaces_orig,job_spaces_new,job_spaces_change,resunits_orig,resunits_new,resunits_change,density_hhemp_orig,density_hhemp_new,density_hhemp_change,City
0,0,American Fork - AMERICAN FORK CRT NC,43.94782778,0,600,600,0,700,700,0,27,27,American Fork
1,1,American Fork - Meadows,321.6558152,4500,6600,2100,200,2000,1800,15,27,12,American Fork
2,2,American Fork - Timpanogos,117.049989,2300,3500,1200,0,1100,1100,20,40,20,American Fork
5,5,Bluffdale - Independence,773.9087439,1600,8300,6700,800,7100,6300,3,20,17,Bluffdale
6,6,Bluffdale - Prison Site,152.3495641,2000,6900,4900,0,2600,2600,13,62,49,Bluffdale
7,7,Bountiful - 1100 North Center,24.79328886,400,500,100,0,200,200,16,32,16,Bountiful
8,8,Bountiful - Bountiful 200 West,32.23165792,500,600,100,100,300,200,20,28,8,Bountiful
9,9,Bountiful - Bountiful Downtown,70.60568119,2600,2900,300,200,500,300,39,48,9,Bountiful
12,12,Centerville - Parrish Lane Center,102.7748345,2600,2800,200,0,500,500,25,32,7,Centerville
13,13,Clearfield - CLEARFIELD CRT NC,123.8026937,300,1900,1600,100,2300,2200,3,34,31,Clearfield
14,14,Clearfield - Downtown Clearfield,288.670532,3500,6900,3400,800,3600,2800,15,36,21,Clearfield
15,15,Clearfield - East Antelope Center,301.0437912,2300,5200,2900,600,3400,2800,10,28,18,Clearfield
16,16,Clearfield - Layton Midtown,166.7653309,1500,7100,5600,700,3600,2900,13,64,51,Clearfield
17,17,Clearfield - Sunset SR 126,38.15140394,500,600,100,100,300,200,14,24,10,Clearfield
18,18,Clearfield - Syracuse SR 193 Center,0.697024524,0,0,0,0,0,0,0,0,0,Clearfield
19,19,Clinton - West Point 2000 West,0.352381444,0,0,0,0,0,0,0,26,26,Clinton
20,20,Cottonwood Heights - Butler Park Center,65.76409193,0,0,0,0,0,0,1,1,0,Cottonwood Heights
21,21,Cottonwood Heights - Cottonwood Heights Fort Union,55.63425667,1100,1200,100,100,300,200,22,26,4,Cottonwood Heights
22,22,Cottonwood Heights - Cottonwood Heights Highland Drive,30.98399131,600,700,100,100,100,0,24,25,1,Cottonwood Heights
23,23,Cottonwood Heights - Old Mill,277.2543312,9700,11100,1400,0,700,700,35,43,8,Cottonwood Heights
24,24,Cottonwood Heights - Union Park,214.2984418,4700,5000,300,1500,1800,300,29,32,3,Cottonwood Heights
25,25,Draper - CRESCENT VIEW LRT NC,28.23912568,0,0,0,100,100,0,3,6,3,Draper
